no,Accuracy,Precision,Recall,F1,Feature
0,0.998205312275664,0.9972972972972972,0.9892761394101875,0.993270524899058,
1,0.9987437185929648,0.9986486486486488,0.99196427291365,0.9952947798758024,
2,0.9985642498205312,0.9981981981981982,0.991068228412496,0.9946200282168874,
3,0.9988334529791816,0.9986486486486488,0.992632722111511,0.9956303491412466,
4,0.9989949748743718,0.9983841595606302,0.9941061776892088,0.996236541695862,
5,0.998983010289543,0.9986534663005252,0.993751583011952,0.9961926438069544,
6,0.999128294533894,0.998845828257593,0.9946442140102446,0.9967365518345324,
7,0.9991923905240488,0.9989900997253938,0.9949794626600336,0.9969771468445064,
8,0.9992821249102656,0.9991023108670168,0.9955373001422522,0.997313019417339,
9,0.9993539124192392,0.999192079780315,0.995983570128027,0.9975817174756052,
std_dev,0.000353054632943,0.0005505540630865,0.002134402077841,0.0013250752586082,-
std_dev,0.3011,0.3009,0.2989,0.2999,-
